City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,carballo,43.213,-8.691,13.2,71,89,0.64,ES,1678033375
282,wanning,18.8003,110.3967,18.77,78,19,2.4,CN,1678033375
283,marechal floriano,-20.4128,-40.6831,29.14,38,100,2.31,BR,1678033375
284,half moon bay,37.4636,-122.4286,9.01,84,75,7.2,US,1678033376
285,saint-pierre,-21.3393,55.4781,26.62,94,100,1.54,RE,1678033128
286,plesoiu,44.4667,24.2667,9.38,63,50,2.56,RO,1678033376
287,lazarev,52.225,141.5131,-3.89,90,96,1.99,RU,1678033376
288,eydhafushi,5.1033,73.0708,27.28,78,99,5.55,MV,1678033376
289,clonakilty,51.6231,-8.8706,6.56,59,100,1.3,IE,1678033376
290,charagua,-19.8,-63.2167,31.76,38,47,1.45,BO,1678033376
291,wiang sa,8.6359,99.3666,22.0,90,6,1.5,TH,1678033376
292,salisbury,51.0693,-1.7957,5.92,71,100,4.12,GB,1678033376
293,bubaque,11.2833,-15.8333,24.62,64,15,4.1,GW,1678033377
294,laguna,38.421,-121.4238,7.38,90,40,6.69,US,1678033377
295,alice springs,-23.7,133.8833,22.75,35,0,2.06,AU,1678033377
296,oistins,13.0667,-59.5333,30.05,54,75,9.77,BB,1678033377
297,batemans bay,-35.7167,150.1833,21.17,93,61,3.25,AU,1678033377
298,souillac,-20.5167,57.5167,25.21,94,75,0.0,MU,1678033377
299,pilar,-9.5972,-35.9567,30.96,49,57,4.74,BR,1678033377
300,tezu,27.9167,96.1667,21.8,40,79,1.91,IN,1678033377
301,channel-port aux basques,47.5702,-59.1367,-4.77,85,96,12.34,CA,1678033378
302,kiama,-34.6833,150.8667,22.78,87,57,2.68,AU,1678033378
303,norman wells,65.282,-126.8329,-35.98,68,20,1.54,CA,1678033378
304,beya,53.0533,90.9139,-6.35,90,100,1.01,RU,1678033378
305,ewa beach,21.3156,-158.0072,20.97,90,75,1.54,US,1678033378
306,reinosa,42.9996,-4.138,6.92,58,31,1.87,ES,1678033378
307,grand gaube,-20.0064,57.6608,26.32,83,100,8.01,MU,1678033378
308,dumai,1.6833,101.45,22.3,97,88,1.2,ID,1678033378
309,vila franca do campo,37.7167,-25.4333,16.23,64,10,7.29,PT,1678033379
310,mweka,-4.85,21.5667,26.95,65,96,1.53,CD,1678033379
311,necochea,-38.5473,-58.7368,30.32,33,0,2.99,AR,1678033349
312,odweyne,9.4092,45.064,24.3,44,6,7.12,SO,1678033379
313,ayan,56.45,138.1667,-13.67,90,100,1.81,RU,1678033379
314,sabya,17.1495,42.6254,27.79,66,1,3.45,SA,1678033379
315,yelatma,54.9675,41.7508,-4.02,94,100,4.58,RU,1678033379
316,rio gallegos,-51.6226,-69.2181,11.03,82,100,3.6,AR,1678033229
317,gazanjyk,39.2446,55.5154,16.77,50,73,4.8,TM,1678033380
318,comodoro rivadavia,-45.8667,-67.5,28.92,32,0,9.26,AR,1678033380
319,labytnangi,66.6572,66.4183,-28.81,100,82,1.1,RU,1678033380
320,faanui,-16.4833,-151.75,28.47,72,100,7.16,PF,1678033380
321,khon buri,14.5254,102.2459,27.23,49,0,1.25,TH,1678033380
322,yara,20.2753,-76.9533,32.22,36,8,4.99,CU,1678033380
323,nome,64.5011,-165.4064,-1.96,93,100,9.77,US,1678033380
324,codrington,-38.2667,141.9667,14.62,81,52,6.94,AU,1678033381
